*051kg*,357,Max Aarons,BOU,D,2500.0
*061vp*,153,Brenden Aaronson,LEE,M,5900.0
*06442*,358,Zach Abbott,NOT,D,2600.0
*06mgd*,62,Abdul Fatawu,IPS,F,4000.0
*0410j*,311,Tammy Abraham,AVL,F,2700.0
*06kwp*,148,Josh Acheampong,CHE,D,2600.0
*062h7*,247,Tyler Adams,BOU,M,4300.0
*03yeg*,359,Tosin Adarabioyo,TOT,D,3000.0
*078qi*,360,Miracle Adewole,TOT,D,2500.0
*0626q*,361,Simon Adingra,SUN,F,2800.0
*070ci*,362,Amine Adli,BOU,F,3200.0
*0793y*,363,Honest Ahanor,CRY,D,2500.0
*0790i*,364,Jules Ahoka,SUN,M,2500.0
*03frx*,111,Ola Aina,NOT,D,6800.0
*05os4*,365,Rayan Ait-Nouri,MCI,D,5300.0
*03ksl*,15,Semi Ajayi,HUL,D,6600.0
*05uel*,54,Kristoffer Ajer,BRF,D,4200.0
*06r5r*,366,Matai Akinmboni,BOU,D,3000.0
*076dr*,367,David Akintola,HUL,"M,F",2500.0
*0326x*,101,Chuba Akpom,IPS,F,3900.0
*0687c*,305,Carlos Alcaraz,EVE,M,2800.0
*0700t*,640,Omar Alderete,SUN,D,6900.0
*060wh*,279,Alejandro Garnacho,AVL,"M,F",4400.0
*05ogg*,368,Ajibola Alese,SUN,D,2500.0
*04sjt*,301,Alisson Becker,LIV,G,7000.0
*0793p*,370,Allan,MCI,F,2500.0
*072j3*,285,Alysson,AVL,F,2500.0
*06l2r*,369,Harry Amass,MUN,D,2800.0
*0784i*,185,Aurele Amenda,COV,D,4100.0
*04lav*,68,Ethan Ampadu,LEE,"D,M",6600.0
*05os8*,224,Joachim Andersen,FUL,D,6300.0
*05opj*,102,Elliot Anderson,MCI,M,11600.0
*02lzt*,371,Keith Andrews,COV,M,2500.0
*068a0*,190,Andrey Santos,MUN,M,2800.0
*072zs*,87,Nilson Angulo,SUN,"M,F",2700.0
*0793w*,372,Ilyas Ansah,HUL,F,2500.0
*06r5m*,373,Aaron Anselmino,CHE,D,3000.0
*061vk*,200,Jaidon Anthony,BRF,"M,F",5700.0
*03rzp*,167,Antonee Robinson,FUL,D,6700.0
*0787y*,151,Antonio Silva,BOU,D,4200.0
*06p4l*,375,Julian Araujo,BOU,D,2500.0
*078i7*,228,Ronald Araujo,LIV,D,4200.0
*06onv*,44,Harrison Armstrong,EVE,M,2600.0
*078fx*,377,Owen Asemota,AVL,G,2500.0
*04gyd*,378,Brandon Austin,TOT,G,2500.0
*078gc*,379,Caelan Avenell,BRF,D,2500.0
*04rzl*,215,Taiwo Awoniyi,COV,F,3000.0
*068yc*,292,Yasin Ayari,BHA,M,6600.0
*06zef*,380,Adam Aznou,EVE,D,3000.0
*06xzn*,381,Abdoullah Ba,SUN,M,2500.0
*06804*,382,Benoit Badiashile,CHE,D,2600.0
*05uns*,383,Leon Bailey,AVL,"M,F",2800.0
*062p0*,384,Stefan Bajcetic,LIV,M,2800.0
*070hn*,385,Dilane Bakwa,NOT,F,2800.0
*05u40*,386,Ellery Balcombe,BRF,G,2500.0
*06fwi*,387,Carlos Baleba,MUN,M,3300.0
*05nns*,94,Danny Ballard,SUN,D,7100.0
*07859*,308,Aladji Bamba,NEW,M,3900.0
*06j20*,329,Valentin Barco,CHE,"D,M",3100.0
*0793q*,388,Bradley Barcola,LIV,F,2500.0
*02lpf*,162,Ross Barkley,AVL,M,3300.0
*04abn*,144,Harvey Barnes,NEW,M,5200.0
*06ybp*,105,Thierno Barry,EVE,F,3600.0
*0554g*,181,Calvin Bassey,FUL,D,5700.0
*076dq*,79,Mohamed Belloumi,HUL,"M,F",5700.0
*06fwn*,389,Steven Benda,NOT,G,2800.0
*06xze*,391,Walter Benitez,CRY,G,3800.0
*05ylw*,205,Rodrigo Bentancur,TOT,M,4200.0
*02lo6*,390,Daniel Bentley,COV,G,2500.0
*05gcs*,199,Sander Berge,FUL,M,4800.0
*06mn7*,642,Lucas Bergvall,TOT,M,2800.0
*06fvn*,266,Beto,EVE,F,4200.0
*02ls8*,392,Marcus Bettinelli,MCI,G,2500.0
*02lpi*,394,Jake Bidwell,COV,D,2500.0
*06v51*,78,Jaka Bijol,LEE,D,4100.0
*06xzi*,395,Tyler Bindon,NOT,D,3000.0
*06ymt*,321,Marco Bizot,AVL,G,3000.0
*05ye7*,156,Oscar Bobb,FUL,M,2900.0
*05r4h*,314,Lamare Bogarde,AVL,M,2600.0
*05o8o*,67,Jayden Bogle,LEE,D,5600.0
*0784j*,396,Raphael Borges Rodrigues,COV,F,2800.0
*06ewm*,397,Alex Borto,FUL,G,2500.0
*06y26*,122,Olivier Boscagli,BHA,D,3500.0
*062a9*,115,Sven Botman,NEW,D,5900.0
*0792s*,323,Ayyoub Bouaddi,MCI,M,2700.0
*05uhj*,398,Conor Bradley,LIV,D,3700.0
*06pry*,337,Kaden Braithwaite,MCI,D,2800.0
*05l27*,81,Jarrad Branthwaite,EVE,D,6300.0
*076d1*,399,Miguel Angel Brau,COV,D,2800.0
*070hc*,254,Brian Brobbey,SUN,F,4700.0
*04rh9*,307,David Brooks,BOU,M,2800.0
*06v0k*,400,Alan Browne,SUN,M,3000.0
*07947*,99999,Lucca Brughmans,LIV,G,2500.0
*05gcr*,1,Bruno Fernandes,MUN,M,15000.0
*05ylj*,312,Bruno Guimaraes,ARS,M,11400.0
*051kl*,143,Emiliano Buendia,AVL,M,4200.0
*02lsa*,401,Dan Burn,NEW,D,5800.0
*06r7l*,402,Bradley Burrowes,AVL,"M,F",2500.0
*032aa*,403,Jack Butland,HUL,G,4300.0
*02t13*,404,David Button,IPS,G,2500.0
*03ysd*,405,Sam Byram,LEE,D,2500.0
*0328q*,406,Tom Cairney,FUL,M,2800.0
*06uzw*,407,Alex Cairns,LEE,G,2500.0
*06nu7*,10,Riccardo Calafiori,ARS,D,6200.0
*049tq*,95,Dominic Calvert-Lewin,LEE,F,7600.0
*070hb*,213,Jaydee Canvot,CRY,D,4400.0
*05o4b*,262,Matty Cash,AVL,D,6400.0
*06rlf*,409,Eiran Cashin,BHA,D,2500.0
*05o4c*,26,Timothy Castagne,FUL,D,4400.0
*078hj*,411,Max-Edgar Chabot,MCI,G,2500.0
*06yxd*,412,Rhys Chadwick,LEE,M,2500.0
*06v00*,413,Sam Chambers,LEE,M,2500.0
*05uhq*,223,Shea Charles,FUL,"D,M",4100.0
*078le*,232,Pep Chavarria,CHE,D,3600.0
*078wn*,414,Sidiki Cherif,COV,F,2500.0
*06v07*,2,Rayan Cherki,MCI,M,8400.0
*06phw*,415,Federico Chiesa,LIV,F,2600.0
*07934*,334,Mohamed-Ali Cho,HUL,F,2500.0
*061ve*,306,Ryan Christie,BOU,M,3800.0
*07847*,416,Modou Cisse,AVL,"D,M",2500.0
*05u1m*,76,Nathan Collins,BRF,D,8000.0
*06crn*,417,Toby Collyer,MUN,M,2500.0
*062p5*,207,Levi Colwill,CHE,D,4200.0
*0791o*,418,Charlie Compton,IPS,M,2500.0
*043qy*,154,Lewis Cook,BOU,M,3400.0
*076kd*,218,Costinha,BHA,D,3300.0
*076dg*,135,Lewie Coyle,HUL,D,5500.0
*064oo*,419,Amario Cozier-Duberry,BHA,M,2500.0
*075zi*,420,Alfie Cresswell,LEE,M,2500.0
*076dn*,211,Matt Crooks,HUL,M,5100.0
*06nyw*,253,Jorge Cuenca,FUL,D,2800.0
*06mnd*,631,Eric da Silva Moreira,NOT,F,2500.0
*03fgl*,172,Jay da Silva,COV,D,5300.0
*063q8*,159,Mikkel Damsgaard,BRF,M,7200.0
