"*061vp*","209","Brenden Aaronson","LEE","M","2000"
"*06442*","370","Zach Abbott","NOT","D","2000"
"*06v0u*","371","Ahmed Abdullahi","SUN","F","2000"
"*06kwp*","187","Josh Acheampong","CHE","D","2000"
"*062h7*","106","Tyler Adams","BOU","M","4700"
"*03yeg*","109","Tosin Adarabioyo","CHE","D","5400"
"*0626q*","158","Simon Adingra","SUN","M","4300"
"*070ci*","211","Amine Adli","BOU","F","2000"
"*067y2*","372","Daniel Adu-Addei","BOU","F","2000"
"*06r7k*","207","Emmanuel Agbadou","WOL","D","3300"
"*06nvc*","373","Asher Agbinone","CRY","M","2000"
"*0620k*","297","Nayef Aguerd","WHU","D","2000"
"*06cly*","374","Enock Agyei","BUR","F","2000"
"*068ys*","375","Naouirou Ahamada","CRY","M","2000"
"*03frx*","100","Ola Aina","NOT","D","7100"
"*05os4*","113","Rayan Ait-Nouri","MCI","D","7800"
"*05uel*","357","Kristoffer Ajer","BRF","D","3900"
"*0649j*","376","Manuel Akanji","MCI","D","5800"
"*02y6o*","286","Nathan Ake","MCI","D","4900"
"*06r5r*","377","Matai Akinmboni","BOU","D","2000"
"*0687c*","248","Carlos Alcaraz","EVE","M","3100"
"*0700t*","84","Omar Alderete","SUN","D","2000"
"*060wh*","465","Alejandro Garnacho","CHE","M","6400"
"*06v0v*","378","Milan Aleksic","SUN","F","2000"
"*05ogg*","379","Ajibola Alese","SUN","D","2300"
"*0687b*","554","Alex Moreno","AVL","D","4200"
"*04sjt*","102","Alisson","LIV","G","8700"
"*06yxe*","135","Estevao Willian Almeida de Oliveira Goncalves","CHE","F","4200"
"*06f81*","380","Edson Alvarez","WHU","M","3900"
"*06l2r*","381","Harry Amass","MUN","D","2000"
"*06dn2*","382","Zeki Amdouni","BUR","F","2000"
"*04lav*","233","Ethan Ampadu","LEE","D","3300"
"*05os8*","103","Joachim Andersen","FUL","D","6000"
"*05opj*","22","Elliot Anderson","NOT","M","7300"
"*05uh0*","383","Joseph Anderson","SUN","D","2000"
"*06pic*","183","Andre","WOL","M","3300"
"*03jly*","486","Andreas Pereira","FUL","M","6400"
"*068a0*","288","Andrey Santos","CHE","M","2000"
"*05vyh*","552","Andy Moran","BHA","M","2000"
"*06r5m*","384","Aaron Anselmino","CHE","D","2000"
"*061vk*","25","Jaidon Anthony","BUR","F","2000"
"*0649i*","675","Antony","MUN","M","2400"
"*06p4l*","385","Julian Araujo","BOU","D","2000"
"*05oef*","386","Alphonse Areola","WHU","G","6200"
"*06zce*","234","Jhon Arias","WOL","M","5700"
"*06onv*","362","Harrison Armstrong","EVE","M","2000"
"*070hd*","387","Tolu Arokodare","WOL","F","2000"
"*06kwh*","389","Benjamin Arthur","BRF","D","2000"
"*05ogh*","390","Harrison Ashby","NEW","D","2000"
"*04gyd*","391","Brandon Austin","TOT","G","2000"
"*04rzl*","392","Taiwo Awoniyi","NOT","F","2800"
"*068yc*","175","Yasin Ayari","BHA","M","3500"
"*06zef*","393","Adam Aznou","EVE","D","2000"
"*06xzn*","394","Abdoullah Ba","SUN","M","2000"
"*06804*","395","Benoit Badiashile","CHE","D","2800"
"*05uns*","396","Leon Bailey","AVL","M","5100"
"*06zxz*","397","Scott Bailey","NEW","M","2000"
"*062p0*","398","Stefan Bajcetic","LIV","M","2000"
"*070hn*","399","Dilane Bakwa","NOT","F","2000"
"*05u40*","400","Ellery Balcombe","BRF","G","2000"
"*06fwi*","206","Carlos Baleba","BHA","M","5500"
"*05nns*","47","Danny Ballard","SUN","D","2900"
"*03ek4*","401","Patrick Bamford","LEE","F","2000"
"*06uzr*","402","Jaydon Banel","BUR","F","2000"
"*02lpf*","403","Ross Barkley","AVL","M","4700"
"*03dxr*","404","Ashley Barnes","BUR","F","2000"
"*04abn*","178","Harvey Barnes","NEW","M","6700"
"*06ybp*","271","Thierno Barry","EVE","F","5300"
"*0554g*","205","Calvin Bassey","FUL","D","5200"
"*06fx0*","298","Altay Bayindir","MUN","G","2000"
"*06fxv*","278","Jean-Ricner Bellegarde","WOL","M","5000"
"*06zod*","405","Dean Benamar","CRY","D","2000"
"*06xze*","407","Walter Benitez","CRY","G","2000"
"*05ylw*","165","Rodrigo Bentancur","TOT","M","4200"
"*02lo6*","406","Daniel Bentley","WOL","G","5800"
"*05gcs*","237","Sander Berge","FUL","M","4600"
"*06mn7*","203","Lucas Bergvall","TOT","M","2400"
"*04fk6*","169","Bernardo Silva","MCI","M","8500"
"*0700s*","408","Adam Berry","NOT","M","2000"
"*06fvn*","119","Beto","EVE","F","4300"
"*02ls8*","409","Marcus Bettinelli","MCI","G","2000"
"*0643r*","410","Owen Bevan","BOU","D","2000"
"*06clx*","411","Jordan Beyer","BUR","D","2000"
"*06v51*","412","Jaka Bijol","LEE","D","3500"
"*04f67*","413","Philip Billing","BOU","M","2700"
"*04sft*","414","Yves Bissouma","TOT","M","3500"
"*06ymt*","222","Marco Bizot","AVL","G","2000"
"*05ye7*","60","Oscar Bobb","MCI","M","2000"
"*05r4h*","348","Lamare Bogarde","AVL","D","2000"
"*05o8o*","65","Jayden Bogle","LEE","D","2000"
"*04qr0*","415","Willy Boly","NOT","D","2600"
"*06y28*","416","Sebastiaan Bornauw","LEE","D","2000"
"*06y26*","417","Olivier Boscagli","BHA","D","2900"
"*062a9*","216","Sven Botman","NEW","D","3600"
"*046c5*","59","Jarrod Bowen","WHU","F","11000"
"*06cm7*","418","Josh Bowler","NOT","M","2600"
"*05uhj*","356","Conor Bradley","LIV","D","4500"
"*05l27*","419","Jarrad Branthwaite","EVE","D","6600"
"*070hc*","420","Brian Brobbey","SUN","F","2000"
"*05gvx*","421","Armando Broja","BUR","F","2000"
"*04rh9*","64","David Brooks","BOU","M","3000"
"*06v0k*","422","Alan Browne","SUN","M","2000"
"*06zoe*","423","Luke Browne","CRY","D","2000"
"*05gcr*","41","Bruno Fernandes","MUN","M","11600"
"*05ylj*","67","Bruno Guimaraes","NEW","M","10800"
"*06dwm*","160","Jacob Bruun Larsen","BUR","F","2000"
"*051kl*","215","Emiliano Buendia","AVL","M","2000"
"*05raa*","213","Hugo Bueno","WOL","D","2000"
"*06fwx*","225","Santiago Bueno","WOL","D","3300"
"*067yu*","424","Facundo Buonanotte","CHE","M","5200"
"*02lsa*","31","Dan Burn","NEW","D","7300"
"*06r7l*","344","Bradley Burrowes","AVL","M","2000"
"*06zc3*","425","Junai Byfield","TOT","D","2000"
"*03ysd*","359","Sam Byram","LEE","D","2000"
"*05rb8*","26","Moises Caicedo","CHE","M","8400"
"*0328q*","351","Tom Cairney","FUL","M","3800"
"*06uzw*","426","Alex Cairns","LEE","G","2000"
"*06nu7*","5","Riccardo Calafiori","ARS","D","2400"
"*049tq*","346","Dominic Calvert-Lewin","LEE","F","2000"
"*06idv*","427","Elijah Campbell","EVE","D","2000"
"*070hb*","428","Jaydee Canvot","CRY","D","2000"
"*06zbt*","429","Rio Cardines","CRY","M","2000"
"*06mx2*","673","Carlos Miguel","NOT","G","2000"
"*0642l*","105","Casemiro","MUN","M","5800"
"*05o4b*","72","Matty Cash","AVL","D","5700"
"*05o4c*","261","Timothy Castagne","FUL","D","5400"
"*04mup*","3","Trevoh Chalobah","CHE","D","5800"
"*06v00*","432","Sam Chambers","LEE","M","2000"
"*06v07*","199","Rayan Cherki","MCI","M","7900"
"*06phw*","198","Federico Chiesa","LIV","F","2000"
"*06ib6*","433","Tawanda Chirewa","WOL","M,F","2000"
"*061ve*","244","Ryan Christie","BOU","M","7100"
"*070hk*","434","Samuel Chukwueze","FUL","F","2000"
"*05g4d*","435","Dennis Cirkin","SUN","D","2500"
"*02t1k*","350","Nathaniel Clyne","CRY","D","2500"
"*02lpl*","363","Seamus Coleman","EVE","D","2000"
"*05u1m*","78","Nathan Collins","BRF","D","7700"
"*062p5*","436","Levi Colwill","CHE","D","7100"
"*043qy*","437","Lewis Cook","BOU","M","6800"
"*06uyd*","364","Diego Coppola","BHA","D","4700"
"*05w90*","438","Maxwel Cornet","WHU","F","2000"
"*05xtq*","439","Matthew Cox","BRF","G","2000"
"*05w9i*","8","Marc Cucurella","CHE","D","7100"
"*06nyw*","309","Jorge Cuenca","FUL","D","2000"
"*03hff*","48","Josh Cullen","BUR","M","2000"
"*063q8*","173","Mikkel Damsgaard","BRF","M","8000"
"*057cr*","352","Kevin Danso","TOT","D","2000"
"*06uzv*","431","Dario Essugo","CHE","M","2000"
"*03pif*","440","Karl Darlow","LEE","G","2000"
"*06zrr*","441","Josh Davidson","LIV","D","2000"
"*02oo1*","442","Ben Davies","TOT","D","4100"
"*06y9m*","161","Maxim De Cuyper","BHA","D","5100"
"*05oig*","302","Liam Delap","CHE","F","4100"
"*06fuh*","443","Hannes Delcroix","BUR","D","2000"
"*04u6i*","444","Leander Dendoncker","AVL","M","2000"
"*05tz8*","445","Emmanuel Dennis","NOT","F","2000"
"*056as*","446","William Dennis","BOU","G","2000"
"*063y7*","316","Destiny Udogie","TOT","D","5100"
"*06kx1*","259","Justin Devenny","CRY","M","2000"
"*05gcc*","55","Kiernan Dewsbury-Hall","EVE","M","2000"
"*0700u*","54","Bafode Diakite","BOU","D","2000"
"*05r34*","95","Amad Diallo","MUN","M","7500"
"*06y29*","132","Habib Diarra","SUN","M","2200"
"*06195*","447","Tyler Dibling","EVE","M","2000"
"*04tm0*","148","Lucas Digne","AVL","D","6600"
"*04qfz*","174","Diogo Dalot","MUN","D","7800"
"*04qos*","448","Issa Diop","FUL","D","3000"
"*06ymu*","68","El Hadji Malick Diouf","WHU","M","5900"
"*066nn*","449","Ben Doak","BOU","F","2000"
"*05uog*","450","Lewis Dobbin","AVL","F","2000"
"*02m11*","268","Matt Doherty","WOL","D","4900"
"*06fup*","228","Jeremy Doku","MCI","M","7600"
"*06fy7*","451","Nicolas Dominguez","NOT","M","4500"
"*070hs*","452","Gianluigi Donnarumma","MCI","G","2000"
"*06xzb*","453","Romelle Donovan","BRF","M","2000"
"*06rlj*","177","Patrick Dorgu","MUN","D","2100"
"*062ot*","454","Cheick Doucoure","CRY","M","3200"
"*04spp*","630","Douglas Luiz","NOT","M","2000"
"*06zbp*","212","Max Dowman","ARS","M","2000"
"*06ime*","455","Radu Dragusin","TOT","D","2400"
"*04mr4*","99","Martin Dubravka","BUR","G","6500"
"*04e1c*","82","Lewis Dunk","BHA","D","4400"
"*06dmn*","456","George Earthy","WHU","M","2000"
"*06kyw*","457","Claudio Echeverri","MCI","M","2000"
"*04fk5*","614","Ederson","MCI","G","8100"
"*05w9q*","345","Odsonne Edouard","CRY","F","2000"
"*044w8*","366","Marcus Edwards","BUR","F","4200"
"*06c4h*","88","Hjalmar Ekdal","BUR","D","2000"
"*06zbz*","30","Hugo Ekitike","LIV","F","7700"
"*05ogb*","219","Anthony Elanga","NEW","F","7500"
"*04xjr*","361","Harvey Elliott","AVL","M","3900"
"*04mqv*","578","Emerson","WHU","D","5300"
"*061xs*","458","Julio Enciso","BHA","M","4000"
"*06fso*","232","Wataru Endo","LIV","M","2500"
"*06pe1*","241","Mateus Goncalo Espanha Fernandes","WHU","M","2000"
"*06r9h*","323","Romain Esse","CRY","M","2300"
"*06jgr*","116","Maxime Esteve","BUR","D","2000"
"*06p6j*","104","Evanilson","BOU","F","4600"
"*06on4*","459","Julian Eyestone","BRF","G","2000"
"*05nt6*","260","Eberechi Eze","ARS","M","9600"
"*05ojf*","300","Fabio Carvalho","BRF","M","2000"
"*05o8k*","628","Fabio Silva","WOL","F","2000"
"*061z3*","655","Fabio Vieira","ARS","M","2000"
"*06jgk*","460","Romain Faivre","BOU","M","2000"
"*06v12*","320","Fer Lopez","WOL","F","5200"
"*068ym*","12","Enzo Fernandez","CHE","M","8700"
"*06uzo*","327","Zian Flemming","BUR","M","2800"
"*04abb*","330","Phil Foden","MCI","M","8700"
"*05n0a*","461","Wes Foderingham","WHU","G","2000"
"*05opl*","336","Wesley Fofana","CHE","D","2600"
"*06c4o*","118","Lyle Foster","BUR","F","2000"
"*064op*","463","Tyler Fredricson","MUN","D","2000"
"*06v05*","318","Jeremie Frimpong","LIV","D","8700"
"*06o2t*","240","Niclas Fullkrug","WHU","F","2400"
"*045c8*","672","Gabriel Jesus","ARS","F","4600"
"*05nzu*","43","Gabriel Magalhaes","ARS","D","8600"
"*052h5*","267","Gabriel Martinelli","ARS","M","7300"
"*067yv*","4","Cody Gakpo","LIV","F","7500"
"*06r9v*","464","Andres Garcia","AVL","D","2000"
"*04spw*","63","James Garner","EVE","M","5400"
"*070ho*","466","Lutsharel Geertruida","SUN","D","2000"
"*06l4i*","333","Tyrique George","CHE","F","2000"
"*04qr9*","167","Morgan Gibbs-White","NOT","M","9800"
"*05uh9*","467","Bryan Gil","TOT","F","2000"
"*05n09*","468","Mark Gillespie","NEW","G","2000"
"*06y9n*","264","Jamie Gittens","CHE","F","6400"
"*064a0*","229","Wilfried Gnonto","LEE","F","2000"
"*06441*","469","Martial Godo","FUL","F","2000"
"*06r5b*","217","Diego Gomez","BHA","M","2000"
"*03r93*","281","Joseph Gomez","LIV","D","3900"
"*06fwo*","470","Enso Gonzalez","WOL","F","2000"
"*06rm7*","152","Nico Gonzalez","MCI","M","2400"
"*04mdn*","360","Anthony Gordon","NEW","M","8700"
"*06fxe*","172","Ryan Gravenberch","LIV","M","6100"
"*05y7c*","282","Archie Gray","TOT","M","2000"
"*06v03*","471","Harry Gray","LEE","F","2000"
"*02lm7*","1","Jack Grealish","EVE","M","4100"
"*06uzk*","472","Etienne Green","BUR","G","2000"
"*05r4r*","473","Sam Greenwood","LEE","F","2000"
"*06p5s*","195","Brajan Gruda","BHA","M","2600"
"*06v01*","239","Ilia Gruev","LEE","M","3200"
"*06yb7*","66","Gabriel Gudmundsson","LEE","D","4100"
"*050jq*","11","Marc Guehi","CRY","D","7100"
"*06zwj*","294","Evann Guessand","AVL","F","2000"
"*03rxa*","128","Idrissa Gueye","EVE","M","7400"
"*06mnm*","331","Marc Guiu","CHE","F","2000"
"*0435t*","474","Ilkay Gundogan","MCI","M","4900"
"*044i7*","475","Angus Gunn","NOT","G","2000"
"*06phr*","568","Gustavo Nunes","BRF","F","2000"
"*06clz*","140","Malo Gusto","CHE","D","5100"
"*06ex4*","476","Josko Gvardiol","MCI","D","9000"
"*062du*","477","Darko Gyabi","LEE","M","2000"
"*04tsb*","56","Viktor Gyokeres","ARS","F","10700"
"*061vq*","21","Erling Haaland","MCI","F","11400"
"*05y9n*","291","Lewis Hall","NEW","D","7300"
"*06zbq*","478","Andre Harriman-Annous","ARS","F","2000"
"*04spq*","262","Jack Harrison","LEE","M","5100"
"*06v6n*","114","Quilindschy Hartman","BUR","D","2000"
"*06zqq*","368","Jorrel Hato","CHE","D","2000"
"*05o6h*","301","Kai Havertz","ARS","F","7600"
