"ID","Player","Team","Position","RkOv","Status","Opponent","Salary","FPts","FP/G","%D","ADP","Ros","GP","Min","G","A2","KP","AT","SOP","TLM","Tu","ErS","ErG","YC","SYC","RC","RCR","HB","Pen","Off","SFTP","AC","Int","CLO","CLR","CoSF","BC","BS","TkW+BS","DW","AER","BCC","BCM","BR","FKG","SBON","PKM","PKD","OG","GAO","CS"
"*03dx3*","Kieran Trippier","NEW","D","1","FA","@AVL Sat 11:30AM","7,000","361.38","9.51","39","152.2","42%","38","3,340","1","1","110","9","1","0","27","1","1","5","0","0","0","2","1","7","566","135","43","3","75","48","9","15","64","168","49","24","0","264","1","0","0","0","1","31","16"
"*061vq*","Erling Haaland","MCI","F","2","FA","@WOL Sat 4:30PM","10,000","326.15","9.32","100","4.7","100%","35","2,764","36","1","30","9","3","0","51","0","0","5","0","0","0","0","0","8","149","0","3","0","14","35","0","4","6","88","50","11","28","37","0","2","0","1","0","26","13"
"*05gcr*","Bruno Fernandes","MUN","M","3","FA","ARS Sun 3:30PM","11,600","313.13","8.46","100","4.8","100%","37","3,314","8","2","119","9","2","0","42","1","0","6","0","0","0","0","0","15","650","32","25","0","36","71","4","5","47","157","19","32","6","222","0","0","0","1","0","39","18"
"*04y92*","Bukayo Saka","ARS","M","4","FA","@MUN Sun 3:30PM","10,300","299.22","7.87","100","2.1","100%","38","3,176","14","1","75","12","0","0","78","0","0","6","0","0","0","5","0","9","585","37","14","0","14","128","5","0","34","207","16","8","3","127","0","1","1","0","0","42","12"
"*05r9b*","Martin Odegaard","ARS","M","5","FA","@MUN Sun 3:30PM","8,700","286.5","7.74","100","18.1","100%","37","3,120","15","1","76","8","0","0","42","0","1","4","0","0","0","0","0","1","665","19","6","0","12","74","0","5","28","123","14","14","4","178","0","0","0","0","0","38","13"
"*03aqp*","Mohamed Salah","LIV","F","6","FA","BOU Fri 7:00PM","15,000","280.57","7.38","100","2.1","100%","38","3,285","19","1","65","13","2","0","110","0","0","2","0","0","0","4","0","22","439","10","6","0","4","83","0","0","12","112","8","15","20","100","0","1","2","0","0","45","13"
"*04tig*","Fabian Schar","NEW","D","7","FA","@AVL Sat 11:30AM","8,900","269.26","7.48","68","130.7","71%","36","3,205","1","0","19","3","2","0","20","0","0","7","0","0","0","0","0","6","212","4","52","1","137","31","2","19","41","190","112","3","9","209","0","0","0","0","1","28","15"
"*052h5*","Gabriel Martinelli","ARS","M","8","FA","@MUN Sun 3:30PM","7,500","262.03","7.28","100","62.7","99%","36","2,785","15","0","59","9","1","0","83","0","0","3","0","0","0","0","0","8","446","18","9","0","10","97","4","1","19","142","15","11","6","103","0","2","0","0","0","33","14"
"*0427d*","James Tarkowski","EVE","D","9","FA","@LEE Mon 7:00PM","10,400","260.24","6.85","100","56.6","99%","38","3,420","1","0","15","1","1","1","22","3","0","6","0","0","0","2","1","2","123","0","51","2","196","32","5","78","104","203","120","6","3","173","0","0","0","0","0","57","9"
"*0524k*","Rodri","MCI","M","10","FA","@WOL Sat 4:30PM","2,700","255.5","7.1","99","56.4","98%","36","2,908","2","1","32","6","1","0","21","0","1","5","0","0","0","2","0","3","608","3","33","0","42","45","1","14","55","184","72","9","4","301","0","2","0","0","0","26","11"
